1,7.02,7.07,7.17,7.19,6.79,8.05,6.90,7.85,7.63,6.56,8.14,7.48,6.51,7.97,7.60,7.61,6.41,7.64,6.64,6.74
2,7.96,7.59,8.20,8.09,7.74,8.73,8.14,8.70,8.29,7.38,9.05,8.11,7.54,8.90,8.11,8.70,7.62,8.16,7.85,7.62
4,7.80,7.69,7.85,8.30,7.46,8.59,8.26,8.65,7.84,7.11,8.40,7.56,7.53,8.61,8.41,8.31,7.14,8.82,7.67,7.28
8,8.32,8.31,8.23,7.65,8.18,8.13,8.04,8.00,8.54,8.31,8.41,8.49,8.73,8.07,7.88,8.22,8.29,8.06,8.41,8.47
16,8.08,7.95,7.87,7.70,7.96,8.12,7.85,8.23,8.01,7.76,8.29,7.92,8.04,8.03,7.89,8.00,7.78,8.06,8.08,8.06
32,8.02,7.91,7.85,7.42,7.77,8.22,7.68,7.88,7.95,7.69,8.24,7.86,7.96,7.90,7.82,7.78,7.75,8.02,8.08,8.05
64,8.42,8.37,8.21,8.20,8.24,8.71,8.12,8.80,8.34,8.10,8.77,8.48,8.07,8.47,8.18,8.24,8.32,8.69,8.29,8.22
128,10.23,9.96,9.74,9.73,10.21,10.08,9.92,9.39,10.33,9.78,9.86,10.09,10.29,10.08,9.87,10.19,10.24,10.09,10.44,10.04
256,10.30,10.37,10.63,10.34,10.60,10.60,10.45,10.11,10.55,10.32,10.28,10.78,11.02,10.45,10.38,10.76,10.65,10.58,10.93,10.64
512,11.60,11.60,11.48,11.25,11.53,11.93,11.37,11.10,11.95,11.19,11.66,11.56,11.90,11.82,11.76,11.82,11.60,11.54,11.90,11.46
1024,12.62,12.17,12.19,11.83,12.11,11.99,11.76,12.16,12.42,11.67,12.43,12.15,12.58,12.60,12.10,13.95,12.17,12.25,12.30,12.10
2048,14.81,14.55,14.53,14.30,14.63,14.53,14.11,14.36,14.81,14.29,14.77,15.12,16.30,14.43,14.67,16.66,14.72,14.64,14.90,14.30
4096,20.44,18.30,19.13,18.45,18.19,18.71,17.62,18.22,20.60,18.16,18.36,18.22,20.36,20.24,18.17,19.16,18.53,20.82,18.07,17.47
8192,27.02,27.87,27.57,25.29,26.66,25.05,27.11,27.56,26.79,26.37,27.42,27.07,26.40,26.23,27.19,26.64,27.55,26.03,27.04,25.51
16384,83.80,84.64,81.00,80.64,80.28,86.74,82.02,80.40,84.21,80.70,84.38,83.45,83.86,83.64,83.37,83.32,84.04,82.84,83.77,83.72
32768,72.01,73.97,76.10,71.95,73.59,73.21,72.40,73.19,73.33,76.72,75.90,72.79,74.03,71.77,76.90,71.51,76.52,72.81,73.97,77.30
65536,268.28,282.65,291.72,297.67,293.27,292.08,288.61,288.15,282.66,276.10,283.47,276.62,276.58,296.70,300.67,265.60,289.46,290.43,296.16,299.77
131072,602.70,602.25,606.43,599.52,594.27,616.16,597.49,612.47,583.31,600.34,600.70,572.44,593.50,607.88,612.06,589.92,610.27,616.55,611.57,581.60
262144,1297.10,1276.01,1261.85,1225.08,1218.18,1282.03,1246.06,1253.48,1194.22,1189.24,1222.93,1163.59,1224.08,1252.68,1261.98,1269.95,1232.70,1288.04,1246.69,1168.15
524288,2628.85,2530.35,2602.59,2566.02,2523.33,2664.17,2565.88,2635.29,2525.59,2346.28,2559.72,2452.13,2566.76,2562.10,2541.49,2638.91,2435.25,2634.50,2627.77,2504.78
1048576,5055.18,5234.52,5193.36,5082.50,4978.79,5236.51,5200.15,5276.14,5028.01,5288.32,5068.32,4955.20,5048.57,5086.44,5241.86,5058.94,5259.86,5247.04,5136.44,5038.40
