1,4.44,4.26,3.76,4.00,3.91,3.92,3.90,4.03,4.38,4.27,4.05,4.25,4.64,3.53,4.21,4.51,3.22,4.32,4.19,3.75
2,4.22,4.03,3.72,3.95,3.94,3.98,4.07,3.81,4.05,4.03,4.07,4.11,4.06,3.96,4.05,3.93,3.84,4.02,3.99,3.86
4,4.07,3.93,3.84,4.10,4.04,4.01,4.04,3.89,3.99,3.95,4.02,3.99,3.89,3.98,3.99,3.92,3.92,3.99,3.99,3.92
8,4.11,3.95,3.89,4.04,4.12,4.00,4.02,4.10,3.97,4.07,4.02,4.00,4.02,3.98,4.13,3.95,3.97,4.12,4.04,3.90
16,4.11,4.03,3.90,4.05,4.12,3.99,3.94,4.06,4.06,4.11,4.12,3.97,3.95,4.05,4.14,4.03,3.96,4.28,4.02,3.88
32,4.75,4.76,4.50,4.84,4.56,4.47,4.76,4.48,4.54,4.98,4.79,4.43,4.82,5.04,5.13,4.59,4.48,4.87,4.69,4.63
64,5.50,5.71,5.40,5.49,5.65,5.54,5.55,5.68,5.68,5.61,5.59,5.47,5.52,5.69,5.80,5.55,5.46,5.73,5.49,5.49
128,6.01,6.00,5.79,6.15,6.00,5.98,5.96,6.00,5.94,5.93,5.94,5.88,5.99,6.05,5.92,5.77,5.85,6.05,5.87,5.93
256,6.55,6.54,6.43,6.50,6.54,6.47,6.53,6.51,6.47,6.42,6.51,6.34,6.53,6.62,6.44,6.42,6.40,6.56,6.47,6.52
512,6.76,6.67,6.74,6.66,6.82,6.78,6.76,6.86,6.79,6.49,6.78,6.82,6.63,6.71,6.84,6.75,6.51,6.60,6.67,6.73
1024,7.64,7.54,7.57,7.49,7.42,7.62,7.48,7.38,7.65,7.57,7.41,7.63,7.49,7.59,7.51,7.61,7.61,7.55,7.60,7.53
2048,8.87,8.79,8.75,8.73,8.71,9.01,8.67,8.71,8.90,8.95,8.72,8.95,8.78,8.86,8.66,9.01,8.89,8.74,8.74,8.68
4096,11.56,11.36,11.39,11.49,11.43,11.62,11.39,11.47,11.34,11.36,11.35,11.40,11.45,11.53,11.42,11.24,11.48,11.42,11.42,11.47
8192,16.44,16.57,16.54,16.42,16.48,16.45,16.54,16.61,16.69,16.57,16.58,16.61,16.50,16.61,16.53,16.32,16.47,16.51,16.55,16.63
16384,30.83,31.65,30.80,32.19,31.33,30.83,31.54,32.51,31.73,32.16,30.86,32.10,31.50,31.01,31.92,31.18,30.50,31.95,31.52,33.48
32768,51.96,52.36,52.94,53.34,52.87,52.70,51.64,52.57,52.80,52.87,52.14,53.46,53.37,52.74,53.36,53.02,52.62,52.85,53.46,52.63
65536,102.58,104.14,103.84,102.51,103.99,102.78,103.07,103.57,103.31,105.20,103.08,104.74,105.78,104.21,104.20,104.65,103.91,104.51,105.44,102.45
131072,211.13,213.47,212.38,208.04,211.13,201.26,211.10,211.73,212.33,214.14,213.25,214.81,215.57,214.04,212.35,215.33,211.47,211.19,214.61,210.87
262144,389.64,394.21,394.00,387.20,390.54,367.86,389.38,391.97,385.84,394.58,393.54,393.44,395.00,396.13,393.69,392.21,391.90,387.16,394.46,391.20
524288,771.52,761.48,780.01,775.21,774.23,741.42,769.85,779.94,759.68,782.33,782.32,778.90,770.38,777.47,772.34,773.04,774.07,770.76,771.77,778.73
1048576,1389.37,1343.46,1390.67,1409.17,1359.27,1361.03,1390.24,1394.31,1325.46,1437.08,1407.89,1399.90,1349.94,1364.75,1367.01,1391.22,1411.50,1368.10,1400.82,1414.25
