1,212.07,211.92,211.56,218.14,216.06,215.88,217.98,216.27,216.66,214.30,218.16,218.37,216.30,216.17,215.70,215.14,215.68,214.97,217.91,215.58
2,210.97,211.72,215.52,206.67,208.35,210.16,207.90,213.12,210.59,210.36,212.46,210.78,209.92,209.61,212.54,209.09,209.01,213.81,209.36,211.76
4,202.33,202.33,202.74,202.15,202.63,202.59,202.18,201.88,204.12,202.94,202.40,202.35,204.42,202.93,205.00,207.45,202.34,202.65,203.03,206.48
8,203.95,203.89,204.64,203.56,204.68,203.82,203.87,203.92,204.01,205.05,204.34,203.95,203.95,204.45,204.41,204.69,204.33,204.32,204.48,205.25
16,201.97,201.94,202.55,201.70,202.51,202.89,202.00,201.70,202.33,202.48,202.46,202.43,201.77,202.66,204.80,202.61,202.02,202.43,202.79,203.27
32,207.83,207.94,208.62,207.08,208.21,206.52,206.81,207.14,206.82,208.48,208.41,207.73,208.20,207.59,207.76,207.83,207.63,207.70,207.72,208.19
64,215.48,215.26,215.52,215.17,216.60,215.84,216.02,216.40,215.87,216.16,215.56,215.78,215.86,216.49,215.89,216.07,216.17,215.77,216.42,216.55
128,219.78,219.36,220.03,219.19,220.01,219.61,219.71,219.50,219.87,220.04,219.72,219.35,219.35,220.41,219.41,220.40,219.59,219.91,219.86,221.39
256,257.26,256.79,263.55,264.49,260.55,256.72,257.71,263.12,259.47,257.44,256.85,257.19,262.60,257.31,256.41,257.61,257.30,258.54,258.94,258.41
512,280.86,279.77,295.90,299.16,288.93,281.54,282.22,295.12,287.28,280.78,282.10,281.47,292.30,281.11,280.61,282.50,281.39,281.41,280.55,282.54
1024,309.90,310.34,343.67,346.42,326.42,309.27,309.18,338.13,322.85,311.13,310.30,309.44,334.37,310.30,309.22,310.02,308.71,309.30,309.34,310.05
2048,336.64,335.96,335.95,336.31,336.61,335.51,335.72,335.86,336.39,336.74,335.99,335.64,335.82,337.30,335.55,336.75,336.50,336.29,336.15,337.29
4096,387.80,386.45,387.14,387.81,387.90,387.67,387.68,387.16,388.67,388.38,388.39,386.98,388.70,389.08,387.32,387.92,387.93,387.56,388.52,388.77
8192,434.09,433.34,433.48,433.08,434.94,433.29,434.08,433.92,434.40,435.41,433.99,434.98,434.74,435.63,432.69,435.47,434.89,435.05,435.17,436.57
16384,503.60,502.61,502.35,502.90,503.08,503.47,502.88,504.37,504.81,504.26,504.10,503.24,503.04,505.93,503.24,503.34,502.88,504.03,503.48,505.05
32768,623.77,623.94,623.82,622.55,622.99,624.12,627.10,623.25,623.83,627.16,626.48,623.71,622.90,626.50,622.58,621.92,621.51,624.87,622.53,625.19
65536,1013.32,1015.67,1013.37,1014.75,1013.91,1011.99,1017.11,1014.41,1013.74,1017.68,1008.69,1011.11,1014.88,1016.81,1018.31,1018.21,1016.30,1014.77,1014.91,1016.69
131072,1415.17,1420.25,1411.61,1415.26,1414.92,1413.89,1416.02,1409.38,1415.48,1417.68,1414.01,1413.32,1417.33,1419.06,1413.57,1416.60,1412.71,1421.00,1413.86,1420.09
262144,2231.24,2230.51,2225.91,2231.93,2231.26,2228.22,2230.35,2224.74,2231.31,2231.04,2227.78,2229.54,2234.62,2233.78,2230.95,2230.64,2237.79,2234.61,2228.27,2229.35
524288,3884.44,3889.68,3883.34,3882.85,3883.69,3887.83,3887.61,3883.32,3893.86,3881.84,3882.99,3885.41,3885.51,3889.29,3885.48,3885.39,3884.67,3891.31,3890.72,3887.25
1048576,7265.49,7258.06,7252.09,7243.27,7240.93,7223.97,7242.85,7227.89,7246.80,7249.59,7238.88,7238.83,7243.34,7247.52,7252.45,7251.84,7248.25,7256.70,7257.53,7254.41
