1,1.79,1.75,1.75,1.86,1.79,1.85,1.77,1.76,1.78,1.78,1.79,1.77,1.77,1.77,1.79,1.80,1.76,1.74,1.91,1.76
2,2.31,2.31,2.29,2.33,2.34,2.32,2.32,2.39,2.33,2.30,2.30,2.32,2.32,2.34,2.31,2.35,2.36,2.31,2.32,2.31
4,2.34,2.28,2.30,2.30,2.32,2.32,2.39,2.32,2.32,2.33,2.30,2.33,2.28,2.32,2.33,2.33,2.29,2.30,2.31,2.32
8,2.32,2.31,2.37,2.34,2.33,2.32,2.32,2.33,2.32,2.32,2.38,2.32,2.30,2.31,2.34,2.35,2.32,2.27,2.32,2.35
16,2.32,2.28,2.27,2.29,2.32,2.31,2.32,2.35,2.32,2.42,2.30,2.30,2.29,2.29,2.30,2.33,2.30,2.28,2.31,2.31
32,2.31,2.29,2.27,2.39,2.38,2.31,2.31,2.31,2.31,2.35,2.29,2.31,2.35,2.31,2.32,2.32,2.31,2.28,2.32,2.30
64,2.57,2.53,2.55,2.49,2.50,2.54,2.59,2.57,2.57,2.50,2.54,2.56,2.48,2.49,2.54,2.53,2.55,2.55,2.55,2.53
128,2.66,2.62,2.63,2.74,2.70,2.66,2.67,2.65,2.67,2.67,2.64,2.66,2.65,2.72,2.66,2.66,2.63,2.65,2.67,2.68
256,2.77,2.71,2.73,2.77,2.78,2.74,2.77,2.75,2.88,2.78,2.75,2.75,2.73,2.74,2.75,2.78,2.74,2.74,2.77,2.77
512,3.78,3.74,3.74,3.79,3.77,5.10,3.77,5.03,3.78,3.77,3.82,3.78,3.77,3.76,3.77,3.80,5.05,3.76,3.77,3.81
1024,5.22,3.90,3.87,5.22,5.17,3.95,3.93,3.95,3.93,3.91,5.23,5.25,5.29,3.90,5.13,5.21,3.95,5.11,3.98,5.24
2048,4.33,5.44,4.26,4.25,4.35,4.31,4.28,4.29,5.58,5.49,4.25,4.34,4.24,4.27,4.26,4.28,4.24,4.29,4.27,4.30
4096,5.37,5.28,5.25,5.26,5.25,5.32,5.33,5.26,5.28,5.27,5.26,5.28,5.24,5.28,5.31,5.31,5.27,5.24,5.31,5.29
8192,6.49,6.55,6.52,6.46,6.60,6.47,6.61,6.52,6.56,6.56,6.64,6.49,6.53,6.50,6.54,6.54,6.46,6.51,6.50,6.68
16384,8.42,8.33,8.32,8.32,8.34,8.37,8.30,8.56,8.35,9.12,8.35,8.46,8.42,8.52,8.50,8.52,8.30,8.35,8.41,8.13
32768,12.34,12.39,12.36,12.28,12.30,12.17,12.45,12.23,12.37,12.20,12.38,12.50,12.42,12.32,12.24,12.31,12.53,12.38,12.31,10.97
65536,19.39,18.86,17.96,19.09,18.57,19.03,18.42,18.58,18.62,19.35,20.12,17.82,17.91,19.23,17.79,19.21,19.58,17.55,16.73,15.95
131072,21.67,21.50,21.49,21.96,21.75,21.54,21.72,21.67,21.79,21.69,21.37,21.60,21.50,21.55,21.74,21.96,21.53,21.62,22.07,21.98
262144,42.23,41.13,42.19,40.28,40.66,40.38,39.25,40.50,41.42,41.30,40.88,39.70,41.33,40.30,39.91,41.52,40.22,40.32,40.58,41.17
524288,63.96,64.26,63.91,63.62,63.95,62.72,64.26,64.81,64.43,63.86,64.44,65.11,63.98,64.45,62.63,65.15,63.75,64.01,64.21,64.34
1048576,102.86,103.07,105.08,102.72,103.00,103.16,102.77,102.97,102.96,103.05,103.20,103.53,103.97,106.53,103.16,105.11,102.69,102.54,103.35,102.91
