1,1.84,1.96,1.95,2.08,1.85,1.95,1.86,1.93,1.88,2.21,1.89,1.85,1.85,1.84,1.86,1.86,1.87,1.87,1.81,420.06
2,1.87,1.97,1.93,2.02,1.87,1.92,1.88,1.93,1.90,2.14,1.89,1.85,1.87,1.88,1.86,1.87,1.87,1.85,1.85,420.06
4,1.86,1.98,1.91,1.99,1.88,1.91,1.85,1.93,1.88,2.07,1.88,1.86,1.87,1.87,1.87,1.87,1.88,1.85,1.85,420.06
8,1.85,1.94,1.88,1.95,1.87,1.91,1.85,1.92,1.90,2.01,1.89,1.87,1.85,1.86,1.85,1.89,1.87,1.85,1.85,420.06
16,1.84,1.92,1.88,1.92,1.87,1.91,1.84,1.89,1.87,1.97,1.86,1.86,1.86,1.88,1.85,1.89,1.85,1.86,1.86,420.06
32,2.05,2.14,2.10,2.16,2.08,2.14,2.10,2.12,2.13,2.18,2.12,2.14,2.10,2.07,2.08,2.12,2.12,2.11,2.07,420.06
64,2.43,2.51,2.44,2.52,2.43,2.49,2.47,2.48,2.47,2.51,2.48,2.50,2.46,2.47,2.46,2.50,2.50,2.48,2.43,420.06
128,2.95,3.01,2.94,3.02,2.96,3.00,2.96,3.02,3.01,3.02,3.01,3.00,2.98,3.02,2.97,3.02,2.98,2.98,3.00,420.06
256,3.28,3.31,3.28,3.37,3.31,3.32,3.32,3.31,3.36,3.36,3.34,3.36,3.32,3.34,3.29,3.36,3.33,3.32,3.34,420.06
512,3.49,3.51,3.48,3.52,3.47,3.54,3.51,3.50,3.57,3.53,3.51,3.55,3.51,3.53,3.51,3.56,3.51,3.50,3.54,420.06
1024,4.14,4.20,4.16,4.18,4.17,4.18,4.18,4.20,4.20,4.20,4.18,4.21,4.17,4.19,4.17,4.27,4.22,4.18,4.23,420.06
2048,5.44,5.45,5.37,5.45,5.32,5.45,5.41,5.47,5.45,5.45,5.42,5.62,5.39,5.44,5.46,5.62,5.50,5.47,5.48,420.06
4096,7.71,7.77,7.72,7.75,7.71,7.77,7.74,7.78,7.80,7.82,7.80,7.90,7.76,7.78,7.77,7.97,7.79,7.78,7.70,420.06
8192,11.13,11.12,11.03,11.05,11.02,11.04,11.33,11.11,11.22,11.15,11.13,11.25,11.00,11.17,11.09,11.35,11.11,11.08,11.05,420.06
16384,21.57,21.79,21.59,21.68,21.93,22.02,21.53,21.45,21.69,22.16,21.59,21.93,21.72,21.94,21.89,22.43,21.77,22.06,21.66,420.06
32768,34.40,34.18,34.54,34.29,34.62,34.56,34.33,33.79,34.62,35.36,34.42,35.20,34.35,34.64,34.75,35.08,34.24,34.56,34.48,420.06
65536,60.73,62.11,62.05,61.01,61.33,61.98,61.76,61.04,62.00,62.44,61.66,59.40,61.71,61.71,61.87,62.20,60.78,62.15,60.79,420.06
131072,101.92,105.58,108.94,109.85,109.08,110.24,111.17,108.98,110.97,110.24,108.76,102.60,111.27,110.88,109.74,111.06,108.97,109.35,107.88,420.06
262144,196.29,206.34,211.37,209.29,211.88,212.81,214.30,210.35,214.57,211.76,209.75,202.59,214.60,214.75,212.23,213.84,211.51,210.67,207.95,420.06
524288,397.88,406.60,398.55,402.08,414.40,416.01,420.51,418.00,419.91,416.85,413.87,405.69,421.60,422.57,417.93,407.63,414.90,408.57,408.40,420.06
1048576,420.66,418.50,419.02,422.43,420.90,418.18,422.07,420.44,418.81,418.84,419.29,427.28,423.55,423.68,428.22,426.25,425.24,417.44,420.06,420.06
