1,2.32,2.33,2.23,2.25,2.29,2.40,2.34,2.42,2.35,2.45,2.51,2.46,2.28,2.31,2.47,2.31,2.30,2.39,2.29,571.51
2,2.30,2.29,2.27,2.25,2.26,2.33,2.33,2.38,2.32,2.36,2.46,2.38,2.30,2.28,2.42,2.30,2.34,2.34,2.29,571.51
4,2.33,2.28,2.25,2.26,2.26,2.34,2.33,2.35,2.31,2.32,2.42,2.41,2.29,2.29,2.41,2.31,2.31,2.31,2.29,571.51
8,2.27,2.25,2.24,2.24,2.25,2.30,2.30,2.32,2.26,2.28,2.34,2.35,2.28,2.25,2.37,2.27,2.28,2.26,2.24,571.51
16,2.28,2.25,2.23,2.23,2.24,2.28,2.29,2.31,2.28,2.26,2.33,2.28,2.27,2.24,2.33,2.28,2.26,2.23,2.23,571.51
32,2.47,2.41,2.42,2.41,2.44,2.44,2.51,2.46,2.45,2.39,2.48,2.45,2.46,2.45,2.52,2.46,2.43,2.40,2.41,571.51
64,2.69,2.65,2.67,2.70,2.66,2.75,2.74,2.66,2.70,2.64,2.73,2.65,2.72,2.68,2.71,2.64,2.71,2.65,2.67,571.51
128,3.06,3.02,3.07,3.02,3.02,3.05,3.08,3.04,3.06,3.01,3.10,3.01,3.06,3.09,3.08,3.03,3.06,3.02,3.02,571.51
256,3.54,3.47,3.50,3.50,3.48,3.49,3.56,3.48,3.54,3.47,3.53,3.48,3.58,3.51,3.52,3.50,3.52,3.45,3.48,571.51
512,3.67,3.61,3.65,3.60,3.67,3.63,3.67,3.62,3.63,3.58,3.70,3.66,3.64,3.62,3.71,3.70,3.66,3.59,3.60,571.51
1024,4.26,4.21,4.25,4.25,4.22,4.22,4.27,4.27,4.26,4.20,4.31,4.23,4.29,4.26,4.27,4.24,4.24,4.19,4.29,571.51
2048,5.45,5.41,5.43,5.46,5.44,5.43,5.46,5.47,5.42,5.39,5.52,5.42,5.47,5.41,5.63,5.43,5.49,5.46,5.42,571.51
4096,7.30,7.24,7.27,7.32,7.26,7.27,7.34,7.32,7.28,7.43,7.34,7.27,7.33,7.28,7.42,7.28,7.27,7.29,7.27,571.51
8192,10.39,10.36,10.27,10.28,10.33,10.35,10.39,10.39,10.33,10.55,10.41,10.40,10.59,10.29,10.51,10.38,10.37,10.35,10.38,571.51
16384,19.06,19.04,19.00,19.78,19.70,19.04,19.05,19.55,18.91,19.36,19.38,19.36,19.22,19.76,19.37,19.48,19.02,19.08,19.31,571.51
32768,28.89,29.48,28.64,29.67,29.91,28.91,29.11,29.52,29.11,29.49,29.55,28.92,29.63,29.49,29.59,29.11,28.99,29.20,29.08,571.51
65536,51.23,51.35,50.83,52.80,51.76,52.30,51.51,52.04,48.54,53.27,52.54,51.47,51.53,51.79,51.08,51.30,51.62,50.82,52.68,571.51
131072,96.62,98.19,95.26,97.77,97.55,98.95,97.51,98.52,89.95,96.92,97.12,95.82,97.39,97.28,95.47,96.36,95.96,96.52,96.32,571.51
262144,172.29,174.83,170.34,171.43,172.43,178.88,172.88,175.92,164.35,173.69,174.10,171.02,173.66,173.84,171.46,171.89,172.00,171.61,167.11,571.51
524288,339.09,342.80,320.16,326.14,336.03,349.31,332.65,342.96,328.89,339.40,339.91,334.38,339.10,339.13,335.36,335.79,338.58,334.71,326.58,571.51
1048576,576.16,563.14,564.77,575.78,579.30,571.81,570.76,580.20,573.29,570.75,582.23,572.77,585.59,574.14,587.55,574.75,572.11,576.90,571.51,571.51
