1,2.41,2.53,2.41,2.62,2.53,2.55,2.42,2.46,2.54,2.40,2.51,2.54,2.29,2.56,2.28,2.39,2.58,2.51,2.53,2.38
2,2.47,2.42,2.41,2.52,2.44,2.41,2.50,2.37,2.43,2.47,2.43,2.44,2.43,2.47,2.43,2.33,2.51,2.44,2.47,2.49
4,2.45,2.42,2.41,2.49,2.42,2.42,2.49,2.37,2.45,2.46,2.41,2.43,2.46,2.49,2.43,2.38,2.53,2.44,2.48,2.47
8,2.48,2.41,2.41,2.49,2.40,2.41,2.50,2.37,2.42,2.46,2.42,2.40,2.48,2.48,2.43,2.35,2.52,2.40,2.43,2.46
16,2.48,2.43,2.41,2.51,2.43,2.46,2.51,2.36,2.40,2.46,2.43,2.46,2.48,2.55,2.44,2.35,2.53,2.44,2.47,2.47
32,2.86,2.83,2.84,2.83,2.83,2.83,2.84,2.79,2.73,2.88,2.87,2.77,2.86,2.90,2.90,2.79,2.92,2.83,2.87,2.85
64,3.16,3.17,3.15,3.10,3.14,3.14,3.15,3.12,3.14,3.13,3.15,3.18,3.17,3.20,3.18,3.15,3.21,3.13,3.13,3.21
128,3.72,3.70,3.72,3.69,3.83,3.74,3.72,3.65,3.65,3.69,3.70,3.69,3.70,3.71,3.75,3.70,3.76,3.72,3.77,3.74
256,3.91,3.90,3.93,3.88,3.92,3.89,3.90,3.86,3.89,3.91,3.89,3.91,3.91,3.92,3.95,3.87,3.93,3.89,3.96,3.94
512,4.15,4.15,4.15,4.13,4.16,4.12,4.16,4.10,4.16,4.20,4.21,4.17,4.12,4.15,4.18,4.11,4.18,4.14,4.19,4.20
1024,4.87,4.99,4.89,4.90,4.87,4.91,4.87,4.86,4.85,4.88,4.87,4.89,4.86,4.92,4.93,4.87,4.92,4.91,4.93,4.92
2048,6.11,6.28,6.17,6.16,6.18,6.19,6.27,6.24,6.39,6.26,6.14,6.73,6.18,6.19,6.21,6.17,6.19,6.18,6.19,6.19
4096,8.44,8.64,8.47,8.46,8.46,8.52,8.67,8.60,8.53,8.57,8.48,8.61,8.50,8.51,8.51,8.45,8.52,8.51,8.67,8.47
8192,11.92,12.26,12.02,12.04,12.09,12.03,12.26,12.23,12.08,12.16,11.95,12.26,12.05,12.09,12.10,12.07,12.04,11.96,12.29,12.31
16384,22.56,23.31,23.12,23.30,23.59,23.00,23.76,23.44,23.83,23.85,23.19,23.58,23.22,23.18,23.55,23.85,23.11,23.06,23.07,23.71
32768,35.61,37.08,36.94,36.47,37.27,36.81,37.24,37.44,37.17,37.02,37.11,37.16,37.16,37.16,36.73,37.84,36.65,37.58,36.31,38.11
65536,66.36,66.87,67.01,66.57,67.08,67.34,67.54,67.20,67.04,67.39,66.97,67.32,67.18,67.43,66.86,68.45,66.50,67.74,66.21,69.13
131072,118.82,120.25,120.17,121.28,119.54,117.15,119.45,120.39,114.77,119.95,120.82,120.30,121.23,120.45,119.55,122.22,120.37,123.04,119.86,122.34
262144,229.51,232.37,230.56,231.85,230.75,218.77,227.70,216.81,219.36,231.64,230.86,232.63,232.56,230.06,231.08,227.52,221.78,234.68,230.76,234.20
524288,451.11,454.12,443.55,452.92,441.34,434.88,446.39,413.50,433.23,441.06,451.18,453.30,455.97,451.97,453.03,450.49,442.17,452.76,455.68,458.68
1048576,809.68,819.90,812.92,810.31,783.88,803.01,814.36,748.19,796.68,780.83,817.63,812.64,812.82,815.11,801.29,813.24,770.82,807.09,802.67,817.80
