1,26.19,26.26,26.18,26.13,26.26,26.19,26.26,26.18,26.23,26.19,26.42,26.15,26.20,26.20,26.13,26.26,26.19,26.27,26.23,2278.66
2,25.85,25.95,25.97,25.85,26.08,25.86,25.92,25.95,25.92,25.98,25.84,25.87,25.89,26.08,25.93,25.93,26.09,25.86,25.95,2278.66
4,26.05,26.19,26.15,25.92,25.99,25.98,26.70,26.01,25.99,25.96,26.02,26.22,26.07,25.97,26.80,26.06,26.00,25.95,25.99,2278.66
8,25.87,26.05,26.06,25.87,25.88,25.86,25.98,25.92,25.94,25.98,25.85,26.02,25.89,25.90,26.03,26.01,25.91,25.89,25.91,2278.66
16,25.87,25.99,26.45,25.89,25.91,25.86,25.95,25.99,25.88,26.07,26.02,25.90,25.90,26.03,25.95,26.00,25.96,25.91,25.92,2278.66
32,26.75,27.68,26.85,26.78,26.75,26.78,26.96,26.98,26.77,26.83,27.50,26.80,26.81,26.81,26.76,26.86,26.81,26.80,26.78,2278.66
64,36.45,37.03,36.38,36.36,36.32,36.45,36.39,36.44,36.28,36.49,36.39,36.34,36.28,36.48,37.19,36.40,36.37,36.33,36.47,2278.66
128,37.43,37.41,37.47,37.40,37.32,37.46,38.07,37.51,37.35,38.26,37.43,37.40,37.42,37.73,37.75,37.45,37.40,37.47,37.45,2278.66
256,43.75,43.75,43.87,50.98,43.64,43.74,43.73,43.82,43.75,43.80,43.73,43.95,43.71,43.79,43.71,43.65,43.75,43.73,43.72,2278.66
512,46.16,45.96,46.04,46.66,45.87,45.91,45.99,46.01,45.83,46.40,45.82,45.97,46.18,46.09,46.00,45.79,45.83,46.36,45.85,2278.66
1024,50.33,50.62,50.33,50.20,50.03,50.54,50.49,50.57,50.04,50.28,50.19,50.55,50.28,50.41,50.08,50.09,49.99,49.97,50.20,2278.66
2048,70.91,70.99,70.59,70.79,72.34,72.09,71.48,71.03,70.81,70.60,70.46,70.96,71.67,71.73,71.85,71.11,72.06,71.68,70.60,2278.66
4096,97.23,97.38,96.96,97.58,100.21,98.93,98.19,97.13,97.18,96.87,96.59,97.67,98.89,98.89,98.27,97.19,100.71,98.87,97.19,2278.66
8192,133.35,133.73,133.41,133.63,136.04,135.03,134.14,133.50,133.85,131.83,132.41,133.32,134.23,134.80,135.20,134.06,135.44,134.54,132.95,2278.66
16384,166.32,167.45,166.19,165.79,169.48,175.06,166.09,167.24,166.98,165.09,165.41,165.77,167.24,168.15,167.19,167.65,168.13,167.47,166.20,2278.66
32768,225.66,226.91,225.45,224.31,230.37,229.04,225.17,227.91,227.02,224.05,225.01,225.41,226.84,228.31,226.58,226.17,227.82,225.90,226.17,2278.66
65536,327.12,332.15,329.24,328.87,332.06,333.67,330.14,331.74,329.28,328.78,329.39,330.28,328.80,333.15,330.60,329.58,330.51,329.94,330.44,2278.66
131072,436.47,448.41,441.00,440.88,444.53,435.18,447.37,445.87,454.14,439.21,441.60,441.93,440.46,438.63,443.12,442.50,441.67,438.48,445.06,2278.66
262144,710.41,704.40,707.11,708.99,703.87,712.53,704.04,703.21,699.96,708.75,703.85,703.89,703.15,707.58,705.35,703.25,702.53,710.42,703.14,2278.66
524288,1231.02,1233.45,1230.70,1228.54,1230.74,1230.08,1231.75,1232.36,1227.96,1230.83,1230.18,1232.69,1233.80,1228.45,1228.54,1229.38,1229.47,1233.59,1241.40,2278.66
1048576,2283.32,2280.25,2279.16,2279.44,2278.65,2281.44,2278.05,2280.47,2280.22,2275.75,2281.05,2281.27,2281.46,2279.45,2280.13,2280.33,2280.84,2276.77,2278.66,2278.66
