1,3.60,3.63,3.92,3.59,3.57,3.83,4.17,3.59,3.39,4.07,4.50,4.21,4.02,4.20,4.44,3.66,4.48,4.71,4.41,4.44
2,3.50,3.51,3.82,3.52,3.47,3.72,3.97,3.47,3.34,3.88,4.22,4.11,3.77,4.05,3.78,3.61,4.24,4.29,4.21,4.12
4,3.46,3.44,3.72,3.42,3.42,3.64,3.93,3.46,3.28,3.78,4.09,3.97,3.69,3.98,3.74,3.53,4.08,4.15,4.10,4.04
8,3.40,3.40,3.57,3.40,3.42,3.62,3.79,3.39,3.31,3.64,3.88,3.76,3.58,3.78,3.70,3.51,3.85,3.94,3.88,3.84
16,3.36,3.38,3.52,3.38,3.42,3.49,3.65,3.33,3.32,3.52,3.73,3.67,3.54,3.64,3.69,3.51,3.73,3.78,3.72,3.64
32,37.93,37.91,37.90,38.11,37.91,38.02,37.97,37.91,38.03,37.98,38.31,38.04,38.51,38.00,38.04,38.20,38.34,38.06,38.42,38.35
64,38.10,37.96,37.89,38.00,37.96,38.00,37.94,37.95,38.06,38.01,38.00,37.90,38.00,37.97,37.95,37.91,37.93,38.13,38.00,37.98
128,38.09,38.02,38.17,38.13,38.10,38.07,38.00,38.07,38.06,38.05,38.11,38.16,38.07,38.08,38.02,38.05,38.02,38.09,38.04,38.12
256,38.11,38.16,38.19,38.33,38.14,38.14,38.09,38.21,38.14,38.19,38.20,38.10,38.15,38.16,38.30,38.24,38.28,38.12,38.13,38.19
512,38.36,38.30,38.27,38.27,38.43,38.36,38.23,38.32,38.22,38.25,38.34,38.20,38.44,38.24,38.24,38.21,38.36,38.32,38.29,38.43
1024,39.42,39.26,39.29,39.40,39.44,39.37,39.37,39.29,39.24,39.36,39.44,39.28,39.30,39.48,39.41,39.27,39.31,39.28,39.38,39.32
2048,46.63,46.64,46.62,46.61,46.79,46.86,46.68,46.79,46.86,46.58,47.46,46.57,46.71,46.75,46.72,46.59,46.59,46.63,46.91,46.63
4096,48.78,48.74,48.65,48.94,48.78,48.91,48.66,48.71,48.69,48.77,49.28,48.66,48.69,48.76,48.81,48.99,48.65,48.79,48.91,48.67
8192,64.90,64.79,64.80,65.19,64.82,65.00,64.76,64.81,64.70,64.75,65.16,64.79,64.85,64.92,64.79,64.80,64.93,64.88,64.81,64.86
16384,75.13,74.93,75.09,74.88,75.06,75.06,74.99,75.10,74.93,74.93,74.92,75.00,75.11,75.25,74.92,74.97,75.24,75.02,75.03,75.15
32768,89.42,89.59,89.43,89.38,89.32,89.51,89.23,89.43,89.06,89.26,89.17,89.57,89.54,89.62,89.53,89.69,89.88,89.53,89.26,89.37
65536,122.56,121.95,122.48,121.77,121.60,122.09,121.90,121.93,121.70,121.79,121.94,122.56,121.72,122.44,121.72,122.57,122.62,122.56,122.02,121.72
131072,197.17,197.27,196.86,196.52,196.84,196.72,196.85,196.40,196.37,197.21,196.59,196.94,198.00,197.27,196.61,197.05,197.65,196.91,196.77,196.47
262144,391.93,385.88,384.49,383.22,384.08,384.42,385.14,381.99,382.40,383.10,382.45,384.61,384.48,385.72,384.17,385.65,384.14,384.27,384.16,383.74
524288,761.64,761.71,762.82,788.01,761.60,761.69,764.51,760.94,761.05,760.90,761.79,762.53,764.44,762.83,760.33,762.31,763.12,761.35,762.11,760.99
1048576,1534.89,1530.62,1545.12,1534.50,1533.18,1532.10,1541.94,1538.84,1533.44,1540.08,1559.86,1544.76,1559.62,1545.15,1532.46,1538.03,1538.51,1547.91,1612.13,1538.36
