1,7.01,7.49,6.34,6.39,6.24,6.20,6.29,6.21,6.23,6.39,6.35,6.22,6.32,6.24,6.17,6.35,6.34,7.26,6.88,7.85
2,7.50,7.24,7.16,7.55,7.24,7.08,7.10,7.35,7.34,7.41,7.26,7.22,7.27,7.28,7.28,7.23,7.38,6.96,7.26,6.70
4,6.76,6.66,7.01,6.89,6.80,6.97,6.94,6.92,6.91,6.87,6.69,6.87,6.87,6.68,6.78,6.88,6.91,6.82,6.73,6.76
8,6.76,6.74,6.68,6.77,6.68,6.68,6.68,6.62,6.66,6.64,6.72,6.66,6.76,6.68,6.59,6.75,6.70,6.60,6.54,6.70
16,6.80,6.74,6.78,6.81,6.89,6.79,6.78,6.84,6.74,6.86,6.77,6.80,6.82,6.71,6.69,6.81,6.89,6.94,6.65,7.04
32,7.36,7.04,7.01,7.15,6.99,7.02,7.00,6.93,6.93,7.04,7.18,7.08,7.26,7.01,6.93,7.31,7.13,7.29,7.15,7.26
64,7.20,7.18,7.22,7.17,7.24,7.26,7.19,7.18,7.19,7.13,7.24,7.24,7.34,7.05,7.08,7.12,7.22,7.14,6.98,7.17
128,6.99,7.02,7.21,7.20,7.20,7.00,7.16,7.09,7.01,7.07,7.06,7.27,7.19,7.09,6.86,7.02,7.33,7.20,6.94,7.24
256,7.39,7.20,7.27,7.35,7.25,7.25,7.39,7.28,7.31,7.16,7.39,7.33,7.21,7.21,7.17,7.29,7.43,7.28,6.90,7.28
512,7.95,8.00,7.92,8.08,7.83,7.88,7.98,7.79,8.11,7.83,7.99,8.00,7.96,8.01,7.77,7.84,8.09,7.99,7.56,7.91
1024,13.10,17.83,12.55,22.87,9.81,10.03,20.27,9.78,21.10,9.90,14.16,17.11,22.00,19.20,21.69,22.20,17.74,17.04,18.16,18.85
2048,26.41,17.07,26.05,19.01,26.47,15.94,22.96,21.12,13.99,26.55,16.99,17.05,15.22,15.15,13.92,16.02,14.69,21.03,14.22,15.08
4096,20.59,24.23,22.96,20.35,26.98,24.31,20.04,24.15,21.31,22.79,20.84,23.07,24.69,24.76,20.19,20.06,25.20,20.22,25.26,21.09
8192,38.99,38.36,39.39,38.74,36.62,38.86,39.29,39.37,40.10,38.34,39.63,38.96,39.25,38.72,38.58,38.73,37.34,38.55,39.33,39.11
16384,75.59,72.44,76.13,75.24,70.55,74.63,74.17,76.60,76.91,71.99,72.76,73.86,71.24,74.04,73.74,73.78,71.78,73.78,74.09,74.32
32768,149.07,145.84,152.96,149.13,144.90,148.26,149.00,147.59,151.23,146.58,144.98,148.81,146.91,149.19,146.08,146.54,144.61,148.19,149.27,148.90
65536,277.46,265.07,278.31,268.04,264.48,264.63,263.75,263.74,275.82,262.30,263.17,266.70,264.34,261.93,264.37,262.41,262.76,262.85,270.32,262.74
131072,551.65,535.18,552.89,539.86,548.42,548.12,535.48,538.58,544.49,543.28,546.75,538.92,554.76,532.73,534.35,538.68,548.96,539.34,541.65,536.36
262144,1690.08,1695.91,1697.63,1690.94,1709.84,1708.28,1688.07,1690.05,1700.14,1706.43,1720.16,1686.61,1713.12,1703.08,1692.46,1704.34,1722.48,1705.03,1701.00,1684.74
524288,4851.47,4757.45,4809.33,4833.81,4800.34,4895.52,4873.74,4883.72,4897.73,4919.06,4841.91,4844.18,4864.07,4801.10,4806.15,4798.90,4891.97,4804.90,4865.20,4903.77
1048576,9977.55,9813.57,9860.72,9905.65,9916.84,9932.47,9946.34,9957.97,9966.76,10017.66,9850.97,9894.34,9936.98,9847.47,9904.63,9831.76,10003.58,9867.65,9925.82,9977.28
