1,5.00,4.91,4.97,4.97,4.71,4.81,4.83,4.77,4.96,4.87,4.86,4.80,4.83,4.77,5.11,5.08,5.01,4.94,4.87,4.90
2,4.80,5.14,4.90,4.80,4.73,4.80,4.81,4.77,4.85,4.86,4.85,4.84,4.93,4.87,4.98,4.95,4.96,4.89,4.79,4.94
4,5.51,5.68,5.14,5.21,5.19,5.31,5.06,5.30,5.29,4.95,5.20,5.33,5.76,5.26,5.09,5.31,5.16,5.42,5.21,5.09
8,5.51,5.48,5.58,5.41,5.43,5.45,5.48,5.37,5.44,5.44,5.51,5.61,5.43,5.49,5.47,5.50,5.48,5.63,5.52,5.68
16,5.61,5.63,5.57,5.50,5.56,5.52,5.64,5.49,5.56,5.58,5.60,5.67,5.53,5.53,5.54,5.58,5.56,5.61,5.54,5.58
32,5.84,5.74,5.77,5.70,5.72,5.62,5.78,5.66,5.74,5.72,5.81,5.84,5.73,5.84,5.74,5.64,5.81,5.81,5.67,5.69
64,5.87,5.83,5.82,5.90,5.91,5.78,5.94,5.75,5.84,5.81,5.86,5.98,5.83,5.86,5.77,5.62,5.84,5.95,5.81,5.83
128,6.06,5.84,5.97,5.90,6.06,5.87,6.08,5.86,5.94,5.89,5.99,6.16,5.95,5.99,5.91,5.86,5.95,6.04,6.08,5.98
256,6.24,6.23,6.04,6.27,6.33,6.13,6.35,6.24,6.20,6.16,6.33,6.37,6.26,6.27,6.25,6.28,6.24,6.37,6.30,6.22
512,6.72,6.64,6.62,6.62,7.06,6.58,6.68,6.65,6.67,6.64,6.78,6.80,6.75,6.79,6.86,7.38,6.71,6.82,6.87,6.80
1024,8.34,8.27,8.23,8.50,9.51,8.16,8.40,8.16,8.42,8.31,8.52,8.51,8.37,8.24,8.47,10.08,8.32,8.45,8.45,8.37
2048,10.19,10.25,10.21,10.15,10.25,10.12,10.19,10.15,10.29,10.28,10.49,10.35,10.26,10.19,10.58,10.59,10.22,10.31,10.37,10.50
4096,15.69,16.13,16.02,20.17,16.14,15.50,15.95,15.86,16.24,16.09,15.95,16.20,16.04,16.14,21.16,26.14,16.03,15.91,16.26,16.19
8192,47.86,40.53,49.67,35.00,44.87,40.12,43.97,43.80,37.43,41.19,44.65,47.27,43.93,45.55,38.32,37.46,46.29,39.40,48.62,45.00
16384,55.79,60.06,59.13,57.85,59.12,58.42,58.80,59.76,57.85,58.80,60.43,55.53,58.52,60.03,61.27,59.50,55.88,58.94,59.36,59.48
32768,119.85,123.56,117.55,119.06,122.03,116.88,118.25,120.15,118.71,119.30,121.62,117.14,119.60,121.44,122.20,117.52,115.69,123.27,123.11,120.21
65536,202.67,209.02,203.82,209.36,203.15,200.16,204.68,215.00,212.66,204.72,206.01,199.79,209.07,212.32,218.70,201.24,200.63,204.60,219.21,212.78
131072,392.81,388.99,393.72,398.87,403.97,390.85,393.67,385.37,385.58,391.23,396.38,388.57,389.89,389.54,398.70,395.52,398.80,384.60,394.88,392.78
262144,1233.56,1207.77,1220.46,1235.17,1222.89,1238.16,1234.24,1218.20,1218.50,1211.81,1216.29,1225.28,1237.42,1234.26,1210.83,1230.69,1231.40,1223.12,1223.99,1215.28
524288,3989.30,3968.90,3977.40,3930.96,3991.41,4016.49,3994.68,4028.23,3997.11,3971.63,3968.83,4015.49,3947.45,3997.85,3972.05,3952.31,3997.93,3932.61,3930.45,3959.70
1048576,8070.75,8067.68,8063.30,7924.57,8052.91,8056.56,7973.39,8074.59,8092.83,8044.56,7992.45,8072.40,7946.53,8051.96,7984.04,7989.10,8042.82,7979.22,7904.96,8039.13
