1,2.49,2.18,2.32,2.33,2.58,2.25,2.28,2.30,2.44,2.33,2.26,2.34,2.24,2.33,2.65,2.30,2.44,2.28,2.24,2.39
2,2.77,2.51,2.59,2.65,2.55,2.54,2.51,2.55,2.48,2.61,2.52,2.60,2.54,2.54,2.50,2.53,2.42,2.54,2.49,2.43
4,2.56,2.40,2.48,2.52,2.52,2.46,2.47,2.53,2.46,2.44,2.46,2.53,2.44,2.53,2.52,2.49,2.42,2.46,2.47,2.40
8,2.42,2.38,2.46,2.49,2.51,2.45,2.44,2.48,2.43,2.45,2.42,2.52,2.42,2.51,2.50,2.49,2.42,2.47,2.45,2.36
16,2.41,2.40,2.49,2.52,2.56,2.47,2.48,2.51,2.50,2.45,2.42,2.53,2.43,2.53,2.56,2.47,2.43,2.46,2.44,2.49
32,2.34,2.35,2.48,2.53,2.46,2.49,2.50,2.46,2.41,2.39,2.43,2.53,2.45,2.50,2.48,2.53,2.32,2.44,2.47,2.31
64,2.39,2.32,2.41,2.49,2.51,2.39,2.46,2.50,2.40,2.39,2.80,2.52,2.39,2.46,2.52,2.46,2.34,2.36,2.37,2.30
128,2.54,2.88,2.57,2.60,3.19,2.61,3.05,2.62,2.54,2.93,2.72,2.66,2.62,2.69,3.00,2.69,2.86,2.85,2.50,3.06
256,2.93,2.88,3.61,2.84,2.97,3.48,3.00,3.34,3.34,3.03,3.16,3.42,3.19,3.17,3.09,3.05,2.77,2.86,3.45,2.67
512,2.97,3.05,3.18,3.58,3.12,3.17,3.29,3.07,3.10,3.34,2.94,3.11,2.99,3.29,3.20,3.25,3.30,3.31,2.94,2.80
1024,3.48,3.23,3.76,3.43,3.33,3.32,3.79,4.03,3.53,3.56,3.16,3.61,3.37,3.30,3.68,3.59,3.60,3.52,3.41,3.21
2048,3.17,3.37,3.29,3.60,3.46,3.59,3.32,3.35,3.23,3.37,3.24,3.38,3.35,3.26,3.27,3.80,3.23,3.42,3.25,3.19
4096,5.68,6.09,5.85,6.00,5.92,6.18,5.95,5.87,5.90,5.97,5.86,5.77,5.86,5.90,6.00,5.85,5.83,6.05,5.93,6.04
8192,10.84,11.23,11.15,11.70,11.30,11.69,11.05,10.59,11.05,11.07,10.86,10.77,11.05,10.85,11.10,10.86,10.93,10.75,11.71,11.76
16384,26.45,26.09,26.92,28.36,26.95,27.66,27.28,25.17,26.20,26.33,26.04,25.99,26.08,25.90,26.51,26.45,25.84,25.92,27.48,28.44
32768,52.45,54.78,55.10,56.10,55.80,55.68,55.43,52.56,53.34,53.15,52.70,55.34,53.75,52.43,53.96,52.04,54.34,52.70,55.73,55.46
65536,110.89,111.59,115.94,116.51,114.03,114.62,110.09,110.33,112.23,110.74,111.16,111.78,110.64,110.51,111.51,110.96,112.70,110.76,115.72,117.56
131072,236.92,237.04,248.06,247.23,249.10,250.10,242.14,239.98,240.99,237.20,241.79,241.75,243.97,240.79,236.67,239.65,240.62,241.99,249.40,248.36
262144,2369.24,2367.60,2366.64,2369.87,2374.43,2377.07,2371.27,2371.64,2384.75,2367.04,2350.45,2380.86,2359.99,2386.35,2362.64,2391.40,2385.92,2383.29,2361.32,2371.44
524288,4867.59,4889.45,4867.01,4897.02,4868.31,4877.22,4859.89,4873.45,4879.04,4883.18,4856.63,4889.53,4872.20,4896.47,4886.47,4929.02,4922.25,4887.18,4869.26,4913.97
1048576,9373.13,9365.64,9473.91,9392.90,9336.57,9369.23,9386.21,9352.69,9368.54,9375.15,9351.36,9372.49,9383.09,9371.96,9387.85,9431.66,9456.34,9369.76,9369.90,9478.61
