1,333.58,374.75,397.13,405.94,388.50,408.46,369.67,392.60,410.17,362.52,379.53,392.08,375.20,377.20,391.25,387.39,390.60,351.11,382.65,358.53
2,317.68,323.92,325.16,323.94,320.21,321.78,324.88,324.68,323.22,326.20,325.34,329.98,326.29,331.65,327.11,326.01,323.17,326.01,323.12,325.84
4,324.91,325.58,342.24,329.34,330.20,321.54,334.41,328.11,325.56,323.48,322.39,333.51,329.15,338.11,326.29,325.93,322.74,329.53,322.33,323.61
8,315.17,330.27,319.25,340.82,341.11,317.76,316.83,336.41,315.82,316.99,318.18,322.14,317.19,318.09,324.59,333.14,320.27,317.14,339.68,317.20
16,322.03,325.06,325.15,327.92,329.36,327.54,325.80,326.28,327.88,329.50,327.10,328.84,325.79,328.71,327.32,326.79,330.45,327.73,325.95,329.94
32,340.74,326.29,328.75,328.92,326.18,325.34,325.92,327.44,325.82,326.13,324.46,332.85,326.10,327.52,327.82,326.08,325.01,327.15,325.82,325.68
64,334.91,329.20,331.29,331.06,329.53,329.19,331.06,331.25,330.55,334.21,330.35,333.86,331.43,330.79,331.53,330.55,329.68,331.77,331.00,330.96
128,344.95,344.20,346.47,347.10,345.43,344.02,351.49,345.96,345.63,346.50,344.24,349.44,345.72,345.02,346.92,345.67,345.13,345.89,345.50,345.92
256,436.90,371.71,372.79,377.28,372.51,371.07,381.52,373.46,372.83,373.78,376.88,377.43,375.80,372.27,377.63,375.25,372.95,374.49,379.22,376.66
512,393.69,388.95,390.84,406.91,390.73,389.00,392.24,391.52,391.33,391.37,400.03,399.00,398.81,390.35,400.13,390.83,390.69,390.95,406.78,393.56
1024,409.88,411.74,413.24,437.99,411.45,408.50,412.25,410.96,414.39,411.25,430.89,417.03,428.26,412.53,424.81,410.93,410.60,412.47,445.91,413.37
2048,447.02,445.30,447.71,445.80,445.93,444.31,447.98,446.65,445.77,446.64,446.31,450.15,446.43,446.63,448.25,447.20,448.79,447.09,448.11,446.65
4096,507.17,507.65,513.52,506.87,508.00,505.43,509.42,510.35,509.93,508.71,509.21,513.72,508.99,508.34,509.92,509.77,509.83,509.55,509.39,510.85
8192,612.96,614.12,615.43,613.58,615.70,613.04,616.45,616.17,615.12,615.91,613.87,618.71,615.55,614.71,617.21,617.34,616.01,616.37,615.42,616.69
16384,791.40,796.60,793.37,790.38,795.17,794.20,796.25,796.44,800.43,798.46,795.56,801.82,796.37,795.23,796.10,798.69,795.21,803.23,796.26,799.39
32768,1101.47,1090.28,1095.33,1084.38,1097.43,1089.77,1095.55,1093.92,1096.42,1100.06,1088.00,1100.99,1095.80,1093.31,1094.03,1097.37,1097.15,1092.63,1093.31,1102.50
65536,1814.56,1812.43,1821.28,1809.76,1829.81,1821.35,1824.88,1826.08,1824.10,1830.88,1817.47,1836.54,1832.58,1826.48,1827.11,1832.01,1829.15,1824.34,1834.56,1827.69
131072,3144.12,3109.46,3125.28,3127.41,3151.33,3157.03,3134.96,3159.01,3160.29,3160.21,3161.29,3164.41,3159.24,3159.78,3137.22,3156.84,3148.01,3160.17,3158.67,3151.20
262144,4142.86,4158.05,4156.11,4151.76,4156.47,4164.73,4174.93,4177.42,4180.63,4188.54,4166.05,4197.78,4172.21,4184.03,4200.44,4176.34,4179.43,4205.90,4177.73,4176.30
524288,7492.48,7493.03,7482.79,7496.26,7461.87,7516.19,7517.41,7529.35,7539.86,7549.64,7487.78,7551.59,7507.86,7562.28,7534.48,7542.08,7515.33,7574.21,7500.77,7510.07
1048576,14016.91,14053.41,14036.46,14061.96,13980.57,14075.49,14105.23,14131.55,14136.93,14129.58,14055.14,14174.69,14102.94,14192.66,14130.79,14133.79,14111.32,14195.54,14114.79,14106.05
