1,1.58,1.59,1.59,1.59,1.59,1.59,1.58,1.57,1.64,1.59,1.56,1.58,1.60,1.62,1.59,1.59,1.58,1.59,1.57,1.60
2,1.59,1.56,1.61,1.60,1.58,1.58,1.60,1.57,1.59,1.61,1.57,1.59,1.61,1.59,1.58,1.59,1.58,1.60,1.59,1.58
4,1.59,1.56,1.65,1.57,1.58,1.56,1.58,1.55,1.58,1.58,1.57,1.59,1.63,1.58,1.59,1.59,1.57,1.60,1.57,1.58
8,1.61,1.58,1.62,1.60,1.60,1.60,1.60,1.58,1.61,1.61,1.59,1.59,1.61,1.59,1.67,1.60,1.58,1.60,1.59,1.63
16,1.71,1.70,1.71,1.71,1.72,1.69,1.71,1.68,1.72,1.71,1.69,1.71,1.71,1.74,1.72,1.74,1.69,1.72,1.71,1.71
32,1.82,1.80,1.85,1.81,1.84,1.80,1.81,1.80,1.81,1.83,1.81,1.84,1.83,1.82,1.83,1.82,1.81,1.82,1.81,1.84
64,2.24,2.14,2.20,2.19,2.21,2.26,2.27,2.25,2.27,2.23,2.21,2.18,2.20,2.33,2.21,2.29,2.18,2.28,2.21,2.20
128,2.23,2.22,2.24,2.22,2.23,2.20,2.22,2.23,2.20,2.21,2.23,2.23,2.23,2.21,2.24,2.23,2.22,2.21,2.22,2.22
256,2.55,2.53,2.59,2.57,2.57,2.57,2.58,2.56,2.62,2.56,2.55,2.77,2.59,2.57,2.56,2.58,2.58,2.58,2.57,2.59
512,3.15,3.14,3.17,3.17,3.16,3.19,3.15,3.16,3.16,3.18,3.19,3.18,3.19,3.14,3.14,3.16,3.21,3.17,3.18,3.15
1024,4.32,4.41,4.40,4.37,4.37,4.39,4.40,4.41,4.42,4.39,4.41,4.40,4.47,4.40,4.34,4.42,4.39,4.38,4.37,4.42
2048,5.92,5.95,5.90,5.95,5.93,5.97,5.92,5.98,5.95,5.92,5.92,6.00,6.01,5.91,5.92,5.96,5.89,5.96,5.96,5.88
4096,10.06,9.90,9.83,9.79,10.03,10.11,10.19,10.14,10.01,9.92,10.07,9.97,10.08,9.97,9.96,9.93,9.87,10.01,10.09,9.66
8192,17.44,17.50,17.71,17.87,17.75,17.77,17.78,17.85,17.93,17.73,17.88,17.65,17.91,17.67,18.00,17.63,17.79,17.76,17.85,17.42
16384,29.40,29.49,30.16,29.78,29.97,29.47,29.67,29.65,29.66,29.68,29.74,29.58,29.74,29.44,29.88,29.32,29.51,29.61,29.46,29.27
32768,61.73,62.34,61.43,62.42,62.48,61.41,61.76,61.48,61.65,62.71,62.34,61.93,62.15,61.57,61.79,61.29,62.02,61.78,61.35,61.78
65536,126.00,127.30,125.06,127.43,127.07,125.52,125.44,124.88,125.58,126.04,125.94,126.35,128.26,125.89,125.87,125.27,127.40,125.70,124.97,127.18
131072,261.76,283.15,254.95,254.94,256.07,254.86,251.36,251.13,255.68,264.51,257.53,261.05,263.94,258.39,255.82,262.45,265.09,257.27,257.61,264.62
262144,788.48,791.14,788.47,802.37,799.71,795.93,797.64,790.05,794.26,799.89,797.13,804.11,791.35,796.68,796.02,796.20,801.79,794.48,786.21,794.57
524288,1662.12,1663.20,1660.87,1661.56,1668.47,1660.90,1669.62,1661.87,1660.97,1665.26,1671.52,1658.02,1666.69,1666.48,1672.69,1661.10,1667.60,1666.61,1655.64,1671.01
1048576,6837.98,6808.94,6787.98,6857.80,6805.75,6853.44,6871.96,6814.40,6864.33,6863.50,6831.41,6840.01,6861.53,6847.00,6863.65,6836.77,6856.59,6824.35,6822.84,6829.56
