1,1.54,1.56,1.57,1.57,1.58,1.54,1.57,1.54,1.56,1.57,1.57,1.55,1.56,1.56,1.58,1.59,1.57,1.59,1.57,1.56
2,1.55,1.56,1.58,1.57,1.56,1.55,1.57,1.54,1.57,1.57,1.56,1.56,1.55,1.58,1.57,1.59,1.58,1.56,1.57,1.60
4,1.55,1.55,1.57,1.57,1.56,1.54,1.56,1.55,1.57,1.59,1.57,1.56,1.57,1.58,1.56,1.59,1.57,1.57,1.57,1.57
8,1.56,1.57,1.59,1.59,1.59,1.55,1.58,1.58,1.58,1.60,1.58,1.59,1.57,1.58,1.60,1.58,1.59,1.59,1.59,1.58
16,1.68,1.68,1.69,1.69,1.69,1.66,1.69,1.68,1.67,1.70,1.70,1.68,1.71,1.71,1.69,1.69,1.69,1.71,1.69,1.71
32,1.79,1.77,1.83,1.77,1.87,1.75,1.82,1.80,1.78,1.79,1.80,1.77,1.82,1.81,1.79,1.79,1.85,1.81,1.81,1.78
64,2.23,2.19,2.19,2.14,2.18,2.17,2.25,2.24,2.24,2.19,2.19,2.25,2.28,2.17,2.21,2.22,2.21,2.20,2.14,2.17
128,2.25,2.18,2.18,2.20,2.18,2.15,2.17,2.17,2.17,2.19,2.18,2.16,2.17,2.19,2.19,2.19,2.17,2.22,2.19,2.18
256,2.54,2.54,2.54,2.59,2.50,2.53,2.52,2.52,2.53,2.55,2.53,2.55,2.57,2.55,2.52,2.55,2.57,2.54,2.53,2.61
512,3.11,3.15,3.12,3.11,3.09,3.09,3.08,3.11,3.09,3.10,3.09,3.13,3.10,3.12,3.12,3.08,3.10,3.09,3.08,3.08
1024,4.27,4.29,4.43,4.32,4.35,4.29,4.33,4.29,4.29,4.28,4.34,4.32,4.31,4.32,4.32,4.32,4.29,4.30,4.29,4.29
2048,5.72,5.79,5.81,5.77,5.75,5.77,5.68,5.77,5.73,5.76,5.72,5.79,5.77,5.73,5.75,5.73,5.77,5.81,5.78,5.76
4096,9.30,9.45,9.48,9.39,9.31,9.43,9.40,9.37,9.29,9.29,9.22,9.38,9.36,9.38,9.38,9.33,9.46,9.40,9.42,9.35
8192,16.89,16.81,16.89,16.60,16.15,16.31,16.85,16.69,16.43,16.75,16.52,16.80,16.76,16.65,16.59,16.95,16.88,16.62,16.68,17.03
16384,28.42,28.30,28.37,28.24,28.08,28.17,28.20,28.30,28.10,28.29,28.01,28.15,28.26,28.13,28.11,28.56,28.18,28.24,28.19,28.40
32768,58.65,58.78,58.78,59.16,58.74,58.97,59.52,60.57,58.87,59.33,60.99,59.13,58.36,58.88,58.89,59.02,58.78,59.33,58.51,58.87
65536,118.26,119.86,119.65,119.47,120.41,119.65,119.80,120.64,120.40,119.99,123.19,119.95,118.46,119.10,118.67,119.08,120.02,119.80,118.37,118.51
131072,239.74,260.66,254.33,251.12,258.40,248.08,248.75,248.01,254.15,255.13,241.03,254.44,242.82,246.31,242.78,254.81,256.32,256.30,246.72,238.76
262144,763.22,763.72,759.23,757.34,767.88,751.02,766.56,754.24,761.52,760.16,752.87,766.14,753.19,757.99,760.83,756.75,758.92,763.95,760.94,748.22
524288,1601.78,1612.21,1601.16,1603.36,1601.93,1605.25,1607.68,1603.40,1616.50,1601.97,1602.43,1611.20,1609.58,1608.07,1608.46,1609.45,1601.85,1609.65,1608.21,1608.78
1048576,6649.69,6630.30,6685.64,6610.25,6667.03,6636.63,6546.48,6679.62,6589.38,6663.63,6597.44,6686.19,6650.93,6599.62,6561.87,6634.70,6650.18,6667.51,6566.48,6641.72
