1,0.46,0.46,0.46,0.45,0.47,0.46,0.44,0.45,0.42,0.45,0.45,0.46,0.46,0.46,0.43,0.43,0.46,0.45,0.44,0.47
2,0.43,0.46,0.47,0.46,0.48,0.46,0.43,0.44,0.45,0.45,0.44,0.45,0.44,0.46,0.44,0.44,0.48,0.46,0.44,0.46
4,0.44,0.45,0.45,0.48,0.45,0.44,0.43,0.43,0.42,0.45,0.43,0.45,0.46,0.44,0.42,0.45,0.45,0.45,0.43,0.45
8,0.41,0.43,0.44,0.43,0.45,0.43,0.43,0.43,0.41,0.43,0.40,0.43,0.42,0.43,0.41,0.42,0.43,0.44,0.42,0.44
16,0.40,0.41,0.44,0.44,0.42,0.41,0.41,0.45,0.39,0.42,0.42,0.43,0.41,0.42,0.39,0.42,0.43,0.42,0.41,0.42
32,0.42,0.43,0.44,0.45,0.44,0.42,0.43,0.43,0.42,0.44,0.41,0.42,0.42,0.44,0.41,0.43,0.44,0.44,0.42,0.42
64,0.55,0.46,0.46,0.47,0.48,0.45,0.44,0.45,0.44,0.57,0.56,0.58,0.58,0.46,0.44,0.46,0.45,0.46,0.46,0.56
128,0.63,0.68,0.65,0.66,0.65,0.74,0.64,0.63,0.65,0.64,0.61,0.68,0.63,0.69,0.62,0.62,0.63,0.63,0.64,0.64
256,0.69,0.72,0.73,0.73,0.73,0.72,0.70,0.72,0.75,0.73,0.71,2.59,2.63,0.72,0.71,0.72,0.71,0.72,0.82,2.60
512,0.75,0.77,0.75,0.76,0.76,0.75,0.75,0.75,0.77,0.78,0.75,0.78,0.76,0.74,0.75,0.76,0.76,0.76,0.74,0.75
1024,0.90,0.91,0.90,0.90,0.93,0.90,0.91,0.90,0.92,0.94,0.90,0.92,0.93,0.90,0.89,0.90,0.91,0.92,0.90,0.92
2048,1.32,1.29,1.30,1.29,1.33,1.30,1.30,1.31,1.31,1.37,1.33,1.36,1.35,1.30,1.30,1.29,1.32,1.33,1.28,1.35
4096,1.92,1.85,1.81,1.83,1.86,1.87,1.86,1.85,1.84,1.95,1.92,2.00,1.94,1.86,1.83,1.85,1.88,1.84,1.86,1.96
8192,2.85,2.82,2.80,2.79,2.80,2.83,2.84,2.82,2.79,2.95,2.85,2.99,3.03,2.83,2.78,2.83,2.84,2.76,2.77,2.94
16384,5.29,5.17,5.09,5.19,5.10,5.22,5.21,5.20,4.99,5.20,5.19,5.36,5.26,5.20,5.07,5.25,5.22,5.07,5.09,5.36
32768,9.10,9.01,8.79,8.89,8.94,8.99,8.92,8.79,9.00,8.74,8.87,9.01,9.00,8.93,8.62,9.03,8.95,8.82,8.84,9.17
65536,15.89,16.22,15.89,15.84,15.99,16.04,15.93,15.77,15.98,15.71,15.80,16.01,15.96,15.74,15.54,16.05,15.90,16.08,15.92,16.17
131072,29.10,28.83,28.76,28.59,28.71,28.91,28.84,28.82,28.79,28.47,28.77,28.99,28.63,28.43,28.21,28.93,28.71,28.74,28.51,29.16
262144,51.01,50.01,48.90,47.79,49.89,52.31,50.62,49.69,53.87,50.16,49.74,52.47,49.56,49.86,50.42,50.36,49.62,49.84,49.22,49.31
524288,110.63,98.38,101.43,96.97,101.82,107.08,103.45,110.22,108.56,110.02,103.74,106.91,108.01,102.82,102.54,108.18,105.01,105.55,102.82,102.87
1048576,234.08,239.43,235.59,232.83,239.73,236.87,235.48,229.75,253.42,240.14,239.60,237.84,235.93,241.50,234.14,233.45,233.30,236.54,234.26,234.20
