1,5.62,6.85,5.94,6.67,6.96,5.73,5.70,5.85,5.98,5.97,6.12,5.83,5.84,6.73,5.64,6.02,6.73,5.65,5.68,5.72
2,5.64,6.33,5.71,6.06,6.25,5.66,5.65,5.71,5.82,5.81,5.88,5.67,5.66,6.24,5.55,5.84,6.24,5.59,5.59,5.78
4,5.49,5.93,5.55,5.76,5.89,5.50,5.50,5.61,5.62,5.58,5.69,5.55,5.59,5.87,5.44,5.64,5.94,5.48,5.50,5.50
8,5.41,5.65,5.44,5.54,5.61,5.43,5.43,5.49,5.50,5.45,5.48,5.41,5.44,5.63,5.37,5.41,5.66,5.40,5.41,5.42
16,5.34,5.49,5.37,5.41,5.47,5.38,5.37,5.40,5.39,5.35,5.38,5.36,5.40,5.46,5.36,5.33,5.49,5.35,5.35,5.36
32,5.54,5.60,5.56,5.54,5.57,5.55,5.57,5.59,5.58,5.57,5.60,5.55,5.54,5.58,5.55,5.52,5.58,5.58,5.56,5.54
64,5.78,5.83,5.80,5.79,5.79,5.79,5.81,5.79,5.80,5.81,5.83,5.79,5.75,5.79,5.79,5.77,5.81,5.86,5.81,5.77
128,6.43,6.47,6.48,6.47,6.53,6.47,6.44,6.44,6.47,6.47,6.47,6.43,6.43,6.46,6.44,6.43,6.48,6.46,6.47,6.44
256,6.86,6.94,6.94,6.91,6.91,6.97,6.89,6.89,6.95,6.90,6.91,6.87,6.88,6.91,6.86,6.88,6.95,6.90,6.97,6.91
512,7.20,7.23,7.26,7.22,7.25,7.28,7.23,7.29,7.24,7.27,7.28,7.25,7.20,7.22,7.19,7.19,7.26,7.24,7.26,7.21
1024,7.79,7.84,7.81,7.79,7.79,7.83,7.85,7.86,7.86,7.86,7.84,7.80,7.81,7.82,7.79,7.73,7.87,7.84,7.85,7.84
2048,9.96,9.97,10.00,9.96,9.89,9.97,10.11,9.94,9.98,9.90,9.94,9.95,10.00,10.00,9.94,9.92,10.05,10.00,9.99,10.04
4096,12.51,12.54,12.57,12.48,12.45,12.55,12.63,12.50,12.54,12.57,12.54,12.51,12.59,12.55,12.54,12.47,12.56,12.55,12.57,12.56
8192,16.34,16.31,16.52,16.37,16.28,16.40,16.59,16.32,16.35,16.38,16.31,16.38,16.50,16.41,16.35,16.30,16.43,16.38,16.35,16.40
16384,23.31,23.37,23.49,23.30,23.32,23.33,23.60,23.36,23.39,23.49,23.25,23.36,23.45,23.48,23.41,23.25,23.45,23.44,23.30,23.36
32768,32.72,32.70,32.97,32.51,32.58,32.69,33.10,32.64,32.78,32.78,32.64,32.80,32.82,34.59,32.68,32.70,32.82,32.77,32.55,32.65
65536,52.08,52.00,52.51,51.80,51.92,52.18,52.62,52.12,52.19,52.25,52.33,53.00,52.54,52.35,52.31,52.08,52.25,52.39,52.23,52.32
131072,86.38,86.79,86.86,86.17,86.13,87.13,87.22,86.37,86.95,87.13,87.32,86.79,87.17,86.73,86.59,86.84,86.66,86.91,86.71,86.74
262144,109.04,108.75,110.03,109.33,107.44,109.53,112.80,109.59,107.76,109.72,109.05,108.93,109.47,108.18,108.08,110.40,111.46,108.24,108.74,112.55
524288,215.35,215.93,220.40,216.99,213.45,216.94,225.77,215.87,217.23,215.71,214.38,215.71,217.26,216.38,214.01,214.79,214.87,216.48,217.74,222.39
1048576,441.40,441.61,451.01,437.16,433.89,438.42,463.06,444.53,439.59,438.53,444.38,440.46,443.54,437.92,433.74,435.56,439.20,444.67,449.16,451.54
