4;5;5;5;5;5;5;5;5;5
5;6;5;5;5;5;6;5;5;5
6;6;5;6;5;5;6;6;6;5
6;6;5;6;6;6;6;6;6;5
11;13;11;13;10;11;12;13;12;13
13;14;11;13;12;12;12;13;13;13
1211;1266;1247;1235;1202;1267;1239;1270;1222;1262
1229;1279;1266;1262;1233;1286;1264;1293;1247;1280
9924;10024;10069;9900;9993;10106;9900;10005;9990;10192
9932;10035;10076;9921;10034;10149;9912;10039;10026;10200
18066;18227;18211;18000;18124;18230;17985;18116;18106;18312
18211;18380;18393;18180;18275;18394;18170;18308;18308;18515
18327;18498;18512;18295;18393;18510;18285;18425;18425;18633
