7;5;6;5;5;5;7;6;6;7
7;6;6;6;6;6;7;6;6;7
7;7;7;6;7;7;7;7;6;7
8;7;7;7;7;7;7;7;7;7
10;8;8;8;8;8;8;8;8;8
11;8;8;9;8;8;8;8;8;9
677;662;671;670;662;691;677;696;670;722
711;677;696;695;696;714;703;732;681;732
8240;7763;7833;7832;7790;7851;8725;7952;7835;7938
8301;7806;7930;7929;7869;7932;8743;7995;7925;8013
20166;18101;18399;18431;18208;18349;20428;18446;18361;18518
20499;18229;18493;18481;18320;18399;21007;18497;18424;18597
28352;25367;25566;25605;25318;25486;28555;25626;25513;25723
28505;25522;25717;25752;25469;25640;28730;25780;25667;25878
